"COUNTY","CFIPS","YEAR","AGE","GENDER","Labor Force","Universe","Participation Rate",
"Chaffee County","15","2012","55 to 64","","1,860.31","3,163.55","58.80",
"Chaffee County","15","2012","65 and over","","712.57","3,783.34","18.83",
"Chaffee County","15","2013","16 to 19","","303.56","724.53","41.90",
"Chaffee County","15","2013","20 to 24","","530.12","666.51","79.54",
"Chaffee County","15","2013","25 to 34","","1,483.77","1,723.86","86.07",
"Chaffee County","15","2013","35 to 44","","1,705.3","2,007.36","84.95",
"Chaffee County","15","2013","45 to 54","","2,084.47","2,597.76","80.24",
"Chaffee County","15","2013","55 to 64","","1,855.75","3,130.74","59.28",
"Chaffee County","15","2013","65 and over","","773.28","3,967.14","19.49",
"Chaffee County","15","2014","16 to 19","","288.61","711.18","40.58",
"Chaffee County","15","2014","20 to 24","","617.8","779.68","79.24",
