"CFIPS","YEAR","COUNTY","Total Population","Births","Deaths","Net Migration","Natural Increase","Census Building Permits","Group Quarters Population","Household Population","Households","Household Size","Total Housing Units","Vacancy Rate","Vacant Housing Units",
"115","2009","Sedgwick County","2376","21","31","-34","-10","1","57","2,319","1,080","2.15","1,411","23.459","331",
"117","2008","Summit County","27464","366","49","-16","317","437","927","26,537","10,928","2.43","29,646","63.138","18,718",
"117","2009","Summit County","27783","373","47","-7","326","341","927","26,856","11,072","2.43","29,943","63.023","18,871",
"119","2008","Teller County","23102","195","121","-136","74","137","120","22,982","9,570","2.4","12,583","23.945","3,013",
"119","2009","Teller County","23205","183","124","44","59","88","120","23,085","9,690","2.38","12,619","23.211","2,929",
"121","2008","Washington County","4802","43","53","-115","-10","7","222","4,580","1,941","2.36","2,418","19.727","477",
"121","2009","Washington County","4777","44","44","-25","0","1","222","4,555","1,940","2.35","2,427","20.066","487",
"123","2008","Weld County","244116","4013","1294","3,118","2,719","1,596","5,051","239,065","86,395","2.77","95,692","9.716","9,297",
"123","2009","Weld County","248959","3923","1314","2,234","2,609","837","5,057","243,902","88,253","2.76","96,177","8.239","7,924",
"125","2008","Yuma County","9895","159","121","-24","38","0","219","9,676","3,866","2.5","4,446","13.045","580",
"125","2009","Yuma County","10036","166","90","65","76","4","217","9,819","3,934","2.5","4,457","11.734","523",
"1","2010","Adams County","443711","7436","2474","2,426","4,962","130.91","4,027","439,684","154,502","2.84","163,259","5.36","8,757",
"3","2010","Alamosa County","15474","250","127","50","123","7.5","740","14,734","6,008","2.45","6,561","8.42","553",
"5","2010","Arapahoe County","574819","7981","3295","3,653","4,686","278.37","4,920","569,899","225,124","2.53","238,566","5.63","13,442",
"7","2010","Archuleta County","12060","108","63","116","45","10.5","129","11,931","5,257","2.26","8,772","40.07","3,515",
"9","2010","Baca County","3795","39","52","-6","-13","0.25","82","3,713","1,687","2.2","2,248","24.95","561",
"11","2010","Bent County","6506","54","58","29","-4","0.75","2,208","4,298","1,835","2.34","2,243","18.18","408",
"13","2010","Boulder County","295605","3141","1544","367","1,597","97.48","9,396","286,209","119,574","2.39","127,183","5.98","7,609",
"14","2010","Broomfield County","56107","690","271","310","419","40","282","55,825","21,498","2.59","22,684","5.22","1,186",
"15","2010","Chaffee County","17797","138","157","212","-19","22.75","1,436","16,361","7,596","2.15","10,043","24.36","2,447",
"17","2010","Cheyenne County","1834","21","18","-2","3","0","42","1,792","786","2.27","975","19.38","189",
"19","2010","Clear Creek County","9155","81","64","78","17","2","131","9,024","4,217","2.13","5,687","25.84","1,470",
"21","2010","Conejos County","8282","137","73","8","64","4.25","36","8,246","3,128","2.63","4,290","27.08","1,162",
"23","2010","Costilla County","3532","27","28","28","-1","8.5","0","3,532","1,554","2.27","2,622","40.73","1,068",
"25","2010","Crowley County","5838","37","32","30","5","0.25","2,682","3,156","1,311","2.4","1,559","15.9","248",
"27","2010","Custer County","4272","25","37","118","-12","15","150","4,122","1,933","2.13","3,971","51.32","2,038",
"29","2010","Delta County","30889","341","339","262","2","3.25","713","30,176","12,678","2.38","14,575","13.01","1,897",
"31","2010","Denver County","604879","9716","4229","3,819","5,487","222","15,981","588,898","265,233","2.22","286,635","7.46","21,402",
"33","2010","Dolores County","2060","17","14","5","3","0.25","0","2,060","898","2.29","1,468","38.82","570",
"35","2010","Douglas County","287124","3627","904","2,238","2,723","212.85","800","286,324","102,564","2.79","107,071","4.2","4,507",
"37","2010","Eagle County","52057","775","96","-142","679","19.16","55","52,002","19,184","2.71","31,330","38.76","12,146",
"39","2010","Elbert County","23107","163","107","161","56","9.75","73","23,034","8,388","2.74","8,949","6.26","561",
"41","2010","El Paso County","627232","9002","3526","13,238","5,476","333.21","19,141","608,091","237,926","2.55","252,957","5.94","15,031",
"43","2010","Fremont County","46854","373","504","350","-131","11.5","8,704","38,150","16,595","2.29","19,256","13.81","2,661",
"45","2010","Garfield County","56150","912","278","116","634","19.5","884","55,266","20,272","2.72","23,327","13.09","3,055",
"47","2010","Gilpin County","5463","47","25","45","22","4","49","5,414","2,471","2.19","3,564","30.66","1,093",
"49","2010","Grand County","14790","138","44","32","94","35","222","14,568","6,444","2.26","16,094","59.96","9,650",
"51","2010","Gunnison County","15309","158","69","-46","89","21.75","850","14,459","6,510","2.22","11,434","43.06","4,924",
"53","2010","Hinsdale County","843","10","4","10","6","2.25","56","787","362","2.17","1,391","73.97","1,029",
"55","2010","Huerfano County","6655","56","102","-9","-46","8.75","165","6,490","3,110","2.08","5,084","38.82","1,974",
"57","2010","Jackson County","1387","10","7","-2","3","1.75","2","1,385","646","2.14","1,288","49.84","642",
"59","2010","Jefferson County","535651","5723","3757","1,079","1,966","101.53","7,427","528,224","218,625","2.41","230,166","5.01","11,541",
"61","2010","Kiowa County","1399","6","19","20","-13","1.25","14","1,385","619","2.23","806","23.2","187",
"63","2010","Kit Carson County","8267","108","81","-29","27","0.25","1,075","7,192","3,037","2.36","3,527","13.89","490",
"65","2010","Lake County","7282","106","36","38","70","0","133","7,149","2,941","2.43","4,271","31.14","1,330",
"67","2010","La Plata County","51441","589","270","363","319","58.25","1,715","49,726","21,144","2.35","25,917","18.41","4,773",
"69","2010","Larimer County","300532","3378","1818","1,470","1,560","120.17","8,530","292,002","120,677","2.41","132,836","9.15","12,159",
